Name,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
CDHV,30.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CDHV,29.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CDHV,28.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CDHV,25.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CDHV,24.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CDHV,22.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CDHV,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.200,343.200
CDHV,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.400,3.400
CDHV,17.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
CDHV,16.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
CDHV,15.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
CDHV,14.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
CDHV,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.000,340.000
CDHV,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.000,28.000
CEVI,08.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CEVI,07.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CEVI,06.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CEVI,05.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CEVI,04.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CEVI,01.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CEVI,31.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CEVI,30.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CEVI,29.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CEVI,28.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CEVI,25.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CEVI,24.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CEVI,22.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CEVI,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.200,343.200
CEVI,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.400,3.400
CEVI,17.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
CEVI,16.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
CEVI,15.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
CEVI,14.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
CEVI,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.000,340.000
CEVI,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.000,28.000
CKB,08.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CKB,07.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CKB,06.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CKB,05.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CKB,04.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CKB,01.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CKB,31.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CKB,30.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CKB,29.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CKB,28.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CKB,25.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CKB,24.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CKB,22.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CKB,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.200,343.200
CKB,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.400,3.400
CKB,17.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
CKB,16.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
CKB,15.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
CKB,14.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
CKB,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.000,340.000
CKB,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.000,28.000
CKBKO,08.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
CKBKO,07.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
